attributes,Id,Name,Territory__c,BillingState,BillingCountry
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001fd3S1AAI'})",0010h00001fd3S1AAI,LIXIL Canada Inc.,,Ontario,Canada
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001hKTWqAAO'})",0010h00001hKTWqAAO,Launch Consulting Group,,Washington,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001iN4ZZAA0'})",0010h00001iN4ZZAA0,Legend Biotech,,New Jersey,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001j65ynAAA'})",0010h00001j65ynAAA,"LGC, Biosearch Technologies",,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001j66VcAAI'})",0010h00001j66VcAAI,LifeWorks Wellbeing Solutions,,Ontario,Canada
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001j70VQAAY'})",0010h00001j70VQAAY,Mandarin Consulting,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001jSWyVAAW'})",0010h00001jSWyVAAW,Linkage,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001k8mWHAAY'})",0010h00001k8mWHAAY,"Lee's Marketplace, Inc.",,Utah,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0010h00001ktud0AAA'})",0010h00001ktud0AAA,"Lee's Marketplace, Inc. - Holding Account",,Utah,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001kv0WaAAI'})",0018a00001kv0WaAAI,LearnNatural,,New Jersey,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001lavmEAAQ'})",0018a00001lavmEAAQ,Lunds & Byerlys - Holding Account,,Minnesota,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001lbaLtAAI'})",0018a00001lbaLtAAI,Lifetime Green Coatings,,California,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001mETENAA4'})",0018a00001mETENAA4,Lidl ireland,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001mVjqdAAC'})",0018a00001mVjqdAAC,leadership design studio,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001mVk12AAC'})",0018a00001mVk12AAC,Lipari Foods,,Michigan,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001mVkYBAA0'})",0018a00001mVkYBAA0,LiveRamp,,California,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001n3cx3AAA'})",0018a00001n3cx3AAA,Learning Pool,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001oeHfVAAU'})",0018a00001oeHfVAAU,LSEG,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001oeWKfAAM'})",0018a00001oeWKfAAM,Majestic Wines,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001oemGOAAY'})",0018a00001oemGOAAY,"Mandiant, Inc.",,Virginia,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001oeuXMAAY'})",0018a00001oeuXMAAY,Localo Ltd,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001oeuY1AAI'})",0018a00001oeuY1AAI,Langmead Herbs,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001tDPwSAAW'})",0018a00001tDPwSAAW,Magnet,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001tDPwTAAW'})",0018a00001tDPwTAAW,Leeks,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001tECisAAG'})",0018a00001tECisAAG,LK Bennett,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001tETRdAAO'})",0018a00001tETRdAAO,Loblaw Companies Limited,,Ontario,Canada
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001tEUAiAAO'})",0018a00001tEUAiAAO,Mallinckrodt Pharmaceuticals,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001tEVFTAA4'})",0018a00001tEVFTAA4,Luxury Collection,,New York,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001tEVxuAAG'})",0018a00001tEVxuAAG,Lavazza Professional,,Pennsylvania,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001tEWDEAA4'})",0018a00001tEWDEAA4,M&M Meat Shops,,Ontario,Canada
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001tEWcwAAG'})",0018a00001tEWcwAAG,"Levi's Only Stores, Inc.",,Texas,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001tEYjhAAG'})",0018a00001tEYjhAAG,Linden Foods,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001uBJObAAO'})",0018a00001uBJObAAO,Leah Chang Learning,,British Columbia,Canada
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001uBRIjAAO'})",0018a00001uBRIjAAO,Liberty,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00001uBUjqAAG'})",0018a00001uBUjqAAG,"Margaritaville Enterprises, LLC - Holding Account",,Florida,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000020rJMpAAM'})",0018a000020rJMpAAM,Mace,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000020rJOHAA2'})",0018a000020rJOHAA2,London Borough of Camden,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000020rJP8AAM'})",0018a000020rJP8AAM,Liz Earle,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000020rPrzAAE'})",0018a000020rPrzAAE,Marczyk Fine Foods,,Colorado,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000026gJL4AAM'})",0018a000026gJL4AAM,Lockton Companies LLP,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000026gJMZAA2'})",0018a000026gJMZAA2,Manheim Auctions Ltd.,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000026gJOfAAM'})",0018a000026gJOfAAM,Majestic Wines Warehouse Ltd,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000026gJPGAA2'})",0018a000026gJPGAA2,Lyreco UK Limited,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000026gJPdAAM'})",0018a000026gJPdAAM,LINAK UK Limited,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000026gJPkAAM'})",0018a000026gJPkAAM,Linde Material Handling Ireland,,,Ireland
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000026gN2LAAU'})",0018a000026gN2LAAU,Marczyk Fine Foods - Holding Account,,Colorado,United States
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000026gNViAAM'})",0018a000026gNViAAM,Life Balance Chiropractic,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000026gaSpAAI'})",0018a000026gaSpAAI,Littledata Technologies Ltd,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000026gaU8AAI'})",0018a000026gaU8AAI,Lick Home,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000026gaV0AAI'})",0018a000026gaV0AAI,Linnworks,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000026gaWbAAI'})",0018a000026gaWbAAI,Localistico,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a000026ghqlAAA'})",0018a000026ghqlAAA,MAG Airports,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00002FIr3tAAD'})",0018a00002FIr3tAAD,Lavery,,,Denmark
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00002Ja3VIAAZ'})",0018a00002Ja3VIAAZ,LGT Wealth Management,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00002JaZ7LAAV'})",0018a00002JaZ7LAAV,MAD4 Business Ltd,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00002JaZMoAAN'})",0018a00002JaZMoAAN,Lulu Guinness,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00002K8PPDAA3'})",0018a00002K8PPDAA3,Let-K�b,,,Denmark
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00002MUmDJAA1'})",0018a00002MUmDJAA1,LONDON COLLEGE of FASHION,,,United Kingdom
"OrderedDict({'type': 'Account', 'url': '/services/data/v59.0/sobjects/Account/0018a00002MUmvXAAT'})",0018a00002MUmvXAAT,M&M Food Market US,,Texas,United States
